model,dataset,budget,confidenceBin,n,meanConfidence,empiricalAccuracy,empiricalErrorRate
llama3.1_8b,hatemoderate,75,"[0.9,1.0]",85,1.0,0.7529411764705882,0.24705882352941178
llama3.1_8b,hatemoderate,100,"[0.8,0.9)",1,0.8857142857142857,1.0,0.0
llama3.1_8b,hatemoderate,100,"[0.9,1.0]",137,0.9834466708698418,0.7226277372262774,0.2773722627737226
llama3.1_8b,hatemoderate,124,"[0.8,0.9)",11,0.8773774017676458,0.6363636363636364,0.36363636363636365
llama3.1_8b,hatemoderate,124,"[0.9,1.0]",154,0.9740577488240838,0.6948051948051948,0.30519480519480524
llama3.1_8b,aegis,75,"[0.9,1.0]",72,1.0,0.9305555555555556,0.06944444444444442
llama3.1_8b,aegis,100,"[0.8,0.9)",1,0.8787878787878788,1.0,0.0
llama3.1_8b,aegis,100,"[0.9,1.0]",129,0.9791311381269217,0.9302325581395349,0.06976744186046513
llama3.1_8b,aegis,124,"[0.8,0.9)",11,0.8664474196624973,0.9090909090909091,0.09090909090909094
llama3.1_8b,aegis,124,"[0.9,1.0]",138,0.976085398966307,0.9202898550724637,0.07971014492753625
qwen2.5_7b,hatemoderate,75,"[0.9,1.0]",184,1.0,0.5978260869565217,0.40217391304347827
qwen2.5_7b,hatemoderate,100,"[0.9,1.0]",208,0.9950444713012095,0.5961538461538461,0.40384615384615385
qwen2.5_7b,hatemoderate,124,"[0.8,0.9)",8,0.880296564976443,0.5,0.5
qwen2.5_7b,hatemoderate,124,"[0.9,1.0]",211,0.9927229218536788,0.5971563981042654,0.40284360189573465
qwen2.5_7b,aegis,75,"[0.9,1.0]",186,1.0,0.8870967741935484,0.11290322580645162
qwen2.5_7b,aegis,100,"[0.9,1.0]",194,0.9967222351257304,0.8917525773195877,0.10824742268041232
qwen2.5_7b,aegis,124,"[0.8,0.9)",4,0.8903514278514278,1.0,0.0
qwen2.5_7b,aegis,124,"[0.9,1.0]",196,0.9945957790121716,0.8928571428571429,0.1071428571428571
mistral_7b,hatemoderate,75,"[0.9,1.0]",151,1.0,0.543046357615894,0.45695364238410596
mistral_7b,hatemoderate,100,"[0.9,1.0]",186,0.9937175193786483,0.5376344086021505,0.4623655913978495
mistral_7b,hatemoderate,124,"[0.8,0.9)",3,0.8808503149966564,1.0,0.0
mistral_7b,hatemoderate,124,"[0.9,1.0]",193,0.9908908068550042,0.538860103626943,0.46113989637305697
