model,dataset,budget,countAtConfidence1,correctCount,incorrectCount,accuracy,errorRate
llama3.1_8b,hatemoderate,75,85,64,21,0.7529411764705882,0.24705882352941178
llama3.1_8b,hatemoderate,100,90,72,18,0.8,0.2
llama3.1_8b,hatemoderate,124,80,63,17,0.7875,0.2125
llama3.1_8b,aegis,75,72,67,5,0.9305555555555556,0.06944444444444445
llama3.1_8b,aegis,100,76,71,5,0.9342105263157895,0.06578947368421052
llama3.1_8b,aegis,124,80,74,6,0.925,0.075
qwen2.5_7b,hatemoderate,75,184,110,74,0.5978260869565217,0.40217391304347827
qwen2.5_7b,hatemoderate,100,188,110,78,0.5851063829787234,0.4148936170212766
qwen2.5_7b,hatemoderate,124,181,107,74,0.5911602209944752,0.4088397790055249
qwen2.5_7b,aegis,75,186,165,21,0.8870967741935484,0.11290322580645161
qwen2.5_7b,aegis,100,182,162,20,0.8901098901098901,0.10989010989010989
qwen2.5_7b,aegis,124,175,154,21,0.88,0.12
mistral_7b,hatemoderate,75,151,82,69,0.543046357615894,0.45695364238410596
mistral_7b,hatemoderate,100,162,87,75,0.5370370370370371,0.46296296296296297
mistral_7b,hatemoderate,124,161,85,76,0.5279503105590062,0.4720496894409938
