model,dataset,budget,nResolved,meanTotalPulls_resolved,meanEliminationRound_resolved,nEscalated,meanTotalPulls_escalated,meanEliminationRound_escalated
llama3.1_8b,hatemoderate,75,125,110.4,24.0,275,224.04,25.036496350364963
llama3.1_8b,hatemoderate,100,195,118.26153846153846,26.358974358974358,205,294.0487804878049,33.82439024390244
llama3.1_8b,hatemoderate,124,233,141.08583690987123,28.716738197424892,167,351.09580838323353,41.634730538922156
llama3.1_8b,aegis,75,103,109.13592233009709,24.0,297,219.53535353535352,25.051724137931036
llama3.1_8b,aegis,100,178,108.18539325842697,26.876404494382022,222,282.04954954954957,32.49065420560748
llama3.1_8b,aegis,124,199,116.87939698492463,28.91457286432161,201,335.2039800995025,38.29015544041451
qwen2.5_7b,hatemoderate,75,250,88.5,24.0,150,214.72,24.98611111111111
qwen2.5_7b,hatemoderate,100,284,90.27464788732394,25.077464788732396,116,259.0603448275862,32.596330275229356
qwen2.5_7b,hatemoderate,124,297,98.72727272727273,26.07070707070707,103,294.02912621359224,38.22680412371134
qwen2.5_7b,aegis,75,251,93.13147410358566,24.0,149,194.85906040268458,24.65648854961832
qwen2.5_7b,aegis,100,266,93.57894736842105,24.669172932330827,134,221.3955223880597,27.983050847457626
qwen2.5_7b,aegis,124,275,99.05818181818182,25.49818181818182,125,236.632,30.31192660550459
mistral_7b,hatemoderate,75,183,73.22950819672131,24.0,217,217.8110599078341,24.453271028037385
mistral_7b,hatemoderate,100,234,78.61538461538461,25.115384615384617,166,238.40361445783134,25.766871165644172
mistral_7b,hatemoderate,124,246,80.51626016260163,25.88617886178862,154,252.38311688311688,25.876623376623378
