model,dataset,comparison,coverageDiff_SEminusMV,accuracyDiff_SEminusMV,selectiveRiskDiff_SEminusMV,seCoverage,mvCoverage,seRisk,mvRisk,pairedMcNemar_nJointlyResolved,pairedMcNemar_mvOnlyCorrect,pairedMcNemar_seOnlyCorrect,pairedMcNemar_pValue
llama3.1_8b,hatemoderate,SE_B75_vs_majorityVoting,-0.5125,0.06000000000000005,-0.06000000000000005,0.3125,0.825,0.24,0.30000000000000004,125,1,0,1.0
llama3.1_8b,hatemoderate,SE_B100_vs_majorityVoting,-0.33749999999999997,0.03846153846153855,-0.03846153846153855,0.4875,0.825,0.2615384615384615,0.30000000000000004,195,2,0,0.5
llama3.1_8b,hatemoderate,SE_B124_vs_majorityVoting,-0.24249999999999994,0.008154506437768272,-0.008154506437768272,0.5825,0.825,0.2918454935622318,0.30000000000000004,233,2,0,0.5
llama3.1_8b,aegis,SE_B75_vs_majorityVoting,-0.52,0.08310180126744293,-0.08310180126744293,0.2575,0.7775,0.07766990291262132,0.16077170418006426,103,0,0,1.0
llama3.1_8b,aegis,SE_B100_vs_majorityVoting,-0.33249999999999996,0.08773799631489576,-0.08773799631489576,0.445,0.7775,0.0730337078651685,0.16077170418006426,177,0,0,1.0
llama3.1_8b,aegis,SE_B124_vs_majorityVoting,-0.27999999999999997,0.07534456850167226,-0.07534456850167226,0.4975,0.7775,0.085427135678392,0.16077170418006426,199,0,0,1.0
qwen2.5_7b,hatemoderate,SE_B75_vs_majorityVoting,-0.23750000000000004,0.018492753623188363,-0.018492753623188363,0.625,0.8625,0.396,0.4144927536231884,250,0,0,1.0
qwen2.5_7b,hatemoderate,SE_B100_vs_majorityVoting,-0.15250000000000008,0.013084302918963009,-0.013084302918963009,0.71,0.8625,0.4014084507042254,0.4144927536231884,284,0,0,1.0
qwen2.5_7b,hatemoderate,SE_B124_vs_majorityVoting,-0.12,0.010452349582784293,-0.010452349582784293,0.7425,0.8625,0.4040404040404041,0.4144927536231884,297,1,0,1.0
qwen2.5_7b,aegis,SE_B75_vs_majorityVoting,-0.1100000000000001,0.0031062191910324888,-0.0031062191910324888,0.6275,0.7375,0.1155378486055777,0.11864406779661019,250,1,0,1.0
qwen2.5_7b,aegis,SE_B100_vs_majorityVoting,-0.07250000000000001,-0.001656684083089055,0.001656684083089055,0.665,0.7375,0.12030075187969924,0.11864406779661019,263,1,1,1.0
qwen2.5_7b,aegis,SE_B124_vs_majorityVoting,-0.050000000000000044,0.0022804314329738506,-0.0022804314329738506,0.6875,0.7375,0.11636363636363634,0.11864406779661019,271,1,1,1.0
mistral_7b,hatemoderate,SE_B75_vs_majorityVoting,-0.2925,-0.02021857923497261,0.02021857923497261,0.4575,0.75,0.45355191256830596,0.43333333333333335,183,0,0,1.0
mistral_7b,hatemoderate,SE_B100_vs_majorityVoting,-0.16500000000000004,-0.01965811965811959,0.01965811965811959,0.585,0.75,0.45299145299145294,0.43333333333333335,234,0,0,1.0
mistral_7b,hatemoderate,SE_B124_vs_majorityVoting,-0.135,-0.013821138211382089,0.013821138211382089,0.615,0.75,0.44715447154471544,0.43333333333333335,246,0,0,1.0
