model,dataset,seBudget,mvCoverage,mvAccuracy,mvSelectiveRisk,seCoverage,seAccuracy,seSelectiveRisk,coverageDiff_SEminusMV,riskDiff_SEminusMV,accuracyDiff_SEminusMV
llama3.1_8b,hatemoderate,75,0.825,0.7,0.30000000000000004,0.3125,0.76,0.24,-0.5125,-0.06000000000000005,0.06000000000000005
llama3.1_8b,hatemoderate,100,0.825,0.7,0.30000000000000004,0.4875,0.7384615384615385,0.2615384615384615,-0.33749999999999997,-0.03846153846153855,0.03846153846153855
llama3.1_8b,hatemoderate,124,0.825,0.7,0.30000000000000004,0.5825,0.7081545064377682,0.2918454935622318,-0.24249999999999994,-0.008154506437768272,0.008154506437768272
llama3.1_8b,aegis,75,0.7775,0.8392282958199357,0.16077170418006426,0.2575,0.9223300970873787,0.07766990291262132,-0.52,-0.08310180126744293,0.08310180126744293
llama3.1_8b,aegis,100,0.7775,0.8392282958199357,0.16077170418006426,0.445,0.9269662921348315,0.0730337078651685,-0.33249999999999996,-0.08773799631489576,0.08773799631489576
llama3.1_8b,aegis,124,0.7775,0.8392282958199357,0.16077170418006426,0.4975,0.914572864321608,0.085427135678392,-0.27999999999999997,-0.07534456850167226,0.07534456850167226
qwen2.5_7b,hatemoderate,75,0.8625,0.5855072463768116,0.4144927536231884,0.625,0.604,0.396,-0.23750000000000004,-0.018492753623188363,0.018492753623188363
qwen2.5_7b,hatemoderate,100,0.8625,0.5855072463768116,0.4144927536231884,0.71,0.5985915492957746,0.4014084507042254,-0.15250000000000008,-0.013084302918963009,0.013084302918963009
qwen2.5_7b,hatemoderate,124,0.8625,0.5855072463768116,0.4144927536231884,0.7425,0.5959595959595959,0.4040404040404041,-0.12,-0.010452349582784293,0.010452349582784293
qwen2.5_7b,aegis,75,0.7375,0.8813559322033898,0.11864406779661019,0.6275,0.8844621513944223,0.1155378486055777,-0.1100000000000001,-0.0031062191910324888,0.0031062191910324888
qwen2.5_7b,aegis,100,0.7375,0.8813559322033898,0.11864406779661019,0.665,0.8796992481203008,0.12030075187969924,-0.07250000000000001,0.001656684083089055,-0.001656684083089055
qwen2.5_7b,aegis,124,0.7375,0.8813559322033898,0.11864406779661019,0.6875,0.8836363636363637,0.11636363636363634,-0.050000000000000044,-0.0022804314329738506,0.0022804314329738506
mistral_7b,hatemoderate,75,0.75,0.5666666666666667,0.43333333333333335,0.4575,0.546448087431694,0.45355191256830596,-0.2925,0.02021857923497261,-0.02021857923497261
mistral_7b,hatemoderate,100,0.75,0.5666666666666667,0.43333333333333335,0.585,0.5470085470085471,0.45299145299145294,-0.16500000000000004,0.01965811965811959,-0.01965811965811959
mistral_7b,hatemoderate,124,0.75,0.5666666666666667,0.43333333333333335,0.615,0.5528455284552846,0.44715447154471544,-0.135,0.013821138211382089,-0.013821138211382089
