model,dataset,method,budget,totalCount,resolvedCount,coverage,correctResolved,accuracy,selectiveRisk,escalatedCount,escalationRate,accuracyCiLo,accuracyCiHi,sourceFile
llama3.1_8b,hatemoderate,single_call,,400,226,0.565,159,0.7035398230088495,0.29646017699115046,174,0.435,0.6409979840498229,0.7592779299303952,results_02_n400_from_spark/llama3.1_8b/hatemoderate/single_agent/raw.csv
llama3.1_8b,hatemoderate,majority_voting,,400,330,0.825,231,0.7,0.30000000000000004,70,0.175,0.6484875386777775,0.7469097270371947,results_02_n400_from_spark/llama3.1_8b/hatemoderate/graph_mv/raw.csv
llama3.1_8b,hatemoderate,successive_elimination,75,400,125,0.3125,95,0.76,0.24,275,0.6875,0.6780966567642585,0.8263993385074119,results_02_n400_from_spark/llama3.1_8b/hatemoderate/graph_ucb_B75/raw.csv
llama3.1_8b,hatemoderate,successive_elimination,100,400,195,0.4875,144,0.7384615384615385,0.2615384615384615,205,0.5125,0.6725973321957884,0.7951119702382831,results_02_n400_from_spark/llama3.1_8b/hatemoderate/graph_ucb_B100/raw.csv
llama3.1_8b,hatemoderate,successive_elimination,124,400,233,0.5825,165,0.7081545064377682,0.2918454935622318,167,0.4175,0.6467824933644869,0.7627741800447743,results_02_n400_from_spark/llama3.1_8b/hatemoderate/graph_ucb_B124/raw.csv
llama3.1_8b,aegis,single_call,,400,234,0.585,204,0.8717948717948718,0.1282051282051282,166,0.415,0.8228798360394904,0.9086999350515393,results_02_n400_from_spark/llama3.1_8b/aegis/single_agent/raw.csv
llama3.1_8b,aegis,majority_voting,,400,311,0.7775,261,0.8392282958199357,0.16077170418006426,89,0.2225,0.7943047972763521,0.8758737770141672,results_02_n400_from_spark/llama3.1_8b/aegis/graph_mv/raw.csv
llama3.1_8b,aegis,successive_elimination,75,400,103,0.2575,95,0.9223300970873787,0.07766990291262132,297,0.7425,0.8541709980201915,0.9601196430876495,results_02_n400_from_spark/llama3.1_8b/aegis/graph_ucb_B75/raw.csv
llama3.1_8b,aegis,successive_elimination,100,400,178,0.445,165,0.9269662921348315,0.0730337078651685,222,0.555,0.8790680113530185,0.9568249746897327,results_02_n400_from_spark/llama3.1_8b/aegis/graph_ucb_B100/raw.csv
llama3.1_8b,aegis,successive_elimination,124,400,199,0.4975,182,0.914572864321608,0.085427135678392,201,0.5025,0.8674625214575382,0.9459806521387191,results_02_n400_from_spark/llama3.1_8b/aegis/graph_ucb_B124/raw.csv
qwen2.5_7b,hatemoderate,single_call,,400,254,0.635,145,0.5708661417322834,0.42913385826771655,146,0.365,0.5093874411038972,0.6302332396223734,results_02_n400_from_spark/qwen2.5_7b/hatemoderate/single_agent/raw.csv
qwen2.5_7b,hatemoderate,majority_voting,,400,345,0.8625,202,0.5855072463768116,0.4144927536231884,55,0.1375,0.532860858068097,0.6362704149160762,results_02_n400_from_spark/qwen2.5_7b/hatemoderate/graph_mv/raw.csv
