model,dataset,seBudget,jointlyResolvedN,agreeCount,disagreeCount,exactAgreementRate,bothCorrectCount,bothIncorrectCount,mvCorrectSeIncorrectCount,seCorrectMvIncorrectCount,pairedAccuracyDiff_SEminusMV,pairedAccDiffCiLo,pairedAccDiffCiHi,mcNemarExactPValue
llama3.1_8b,hatemoderate,75,125,124,1,0.992,95,29,1,0,-0.008,-0.023616867086846474,0.007616867086846474,1.0
llama3.1_8b,hatemoderate,100,195,193,2,0.9897435897435898,144,49,2,0,-0.010256410256410256,-0.024397726231849434,0.0038849057190289207,0.5
llama3.1_8b,hatemoderate,124,233,231,2,0.9914163090128756,165,66,2,0,-0.008583690987124463,-0.02042869459277428,0.003261312618525353,0.5
llama3.1_8b,aegis,75,103,103,0,1.0,95,8,0,0,0.0,0.0,0.0,1.0
llama3.1_8b,aegis,100,177,177,0,1.0,164,13,0,0,0.0,0.0,0.0,1.0
llama3.1_8b,aegis,124,199,199,0,1.0,182,17,0,0,0.0,0.0,0.0,1.0
qwen2.5_7b,hatemoderate,75,250,250,0,1.0,151,99,0,0,0.0,0.0,0.0,1.0
qwen2.5_7b,hatemoderate,100,284,284,0,1.0,170,114,0,0,0.0,0.0,0.0,1.0
qwen2.5_7b,hatemoderate,124,297,296,1,0.9966329966329966,177,119,1,0,-0.003367003367003367,-0.009955089561425797,0.0032210828274190635,1.0
qwen2.5_7b,aegis,75,250,249,1,0.996,221,28,1,0,-0.004,-0.011824160515133977,0.003824160515133977,1.0
qwen2.5_7b,aegis,100,263,261,2,0.9923954372623575,232,29,1,1,0.0,-0.010539192580605915,0.010539192580605915,1.0
qwen2.5_7b,aegis,124,271,269,2,0.992619926199262,240,29,1,1,0.0,-0.010228072504425666,0.010228072504425666,1.0
mistral_7b,hatemoderate,75,183,183,0,1.0,100,83,0,0,0.0,0.0,0.0,1.0
mistral_7b,hatemoderate,100,234,234,0,1.0,128,106,0,0,0.0,0.0,0.0,1.0
mistral_7b,hatemoderate,124,246,246,0,1.0,136,110,0,0,0.0,0.0,0.0,1.0
