model,dataset,budget,feature,nResolved,meanResolved,medianResolved,stdResolved,q25Resolved,q75Resolved,nEscalated,meanEscalated,medianEscalated,stdEscalated,q25Escalated,q75Escalated,mannWhitneyU,mannWhitneyP,rankBiserialEffectSize
llama3.1_8b,hatemoderate,75,finalConfidence,85,1.0,1.0,0.0,1.0,1.0,0,,,,,,,,
llama3.1_8b,hatemoderate,75,totalPulls,125,110.4,72.0,58.41867796761469,72.0,147.0,275,224.04,225.0,13.581675073797745,225.0,225.0,268.0,4.567007892209007e-79,0.9844072727272727
llama3.1_8b,hatemoderate,75,eliminationRound,125,24.0,24.0,0.0,24.0,24.0,274,25.036496350364963,25.0,0.2234842021963074,25.0,25.0,125.0,1.1981949573503196e-81,0.9927007299270073
llama3.1_8b,hatemoderate,75,finalVoteMargin,85,1.0,1.0,0.0,1.0,1.0,267,0.503820224719101,0.52,0.349091941665636,0.16,0.84,22227.5,2.7436213826968507e-41,-0.9588014981273407
llama3.1_8b,hatemoderate,75,finalEntropy,85,0.0,0.0,0.0,0.0,0.0,260,0.41411295528885445,0.42301699036395596,0.26247578698288926,0.185754247590989,0.5528214902774172,467.5,5.604600075100596e-41,0.9576923076923077
llama3.1_8b,hatemoderate,75,numberOfEliminations,125,1.0,1.0,0.0,1.0,1.0,274,0.051094890510948905,0.0,0.2205941986694528,0.0,0.0,33375.0,7.777662146842929e-76,-0.948905109489051
llama3.1_8b,hatemoderate,75,numberOfSurvivingCandidates,125,1.0,1.0,0.0,1.0,1.0,274,2.9416058394160585,3.0,0.2642682441652822,3.0,3.0,125.0,1.1981949573503196e-81,0.9927007299270073
llama3.1_8b,hatemoderate,100,finalConfidence,138,0.9827384651803087,1.0,0.026567354889186864,0.9655172413793104,1.0,0,,,,,,,,
llama3.1_8b,hatemoderate,100,totalPulls,195,118.26153846153846,78.0,69.40675200890082,72.0,172.0,205,294.0487804878049,300.0,12.74283962626831,297.0,300.0,649.0,7.82161277310063e-67,0.9675297060662914
llama3.1_8b,hatemoderate,100,eliminationRound,195,26.358974358974358,24.0,3.197028093927197,24.0,29.0,205,33.82439024390244,34.0,1.608308770685883,34.0,34.0,2139.0,4.834296460880897e-60,0.8929831144465291
